book_it419000	Tale of the Curly-Bearded Swordsman	七夕段红儿剧情四选一赠送	True	MixedStudy	A book gifted by the Tea Master, told the story of three swordsmen in the Tang Dynasty.	PropsCategory419	2	re804it419000	it419000	0	None	0	Don't understimate this book，it may have a profound truth.	If you are not illiterate，then there is no reason to not read this book! unless...	m607010000	m607010001
book_it419001	Three Cautions	七夕段红儿剧情四选一赠送	True	MixedStudy	A book gifted by the Tea Master, told a fable tale by the author Liu Hedong.	PropsCategory419	2	re804it419001	it419001	0	None	0	Don't understimate this book，it may have a profound truth.	If you are not illiterate，then there is no reason to not read this book! unless...	m607010000	m607010001
book_it419002	Tale of the Marquis of Huaiyin	七夕段红儿剧情四选一赠送	True	MixedStudy	A book gifted by the Tea Master, told the biography of Han Xin, a general of early Han Dynasty.	PropsCategory419	2	re804it419002	it419002	0	None	0	Don't understimate this book，it may have a profound truth.	If you are not illiterate，then there is no reason to not read this book! unless...	m607010000	m607010001
book_it419003	Anecdotes about Spirits and Immortals	七夕段红儿剧情四选一赠送	True	MixedStudy	A book gifted by the Tea Master, a compilation of legends, short stories, and hearsay concerning Chinese gods, Chinese ghosts, and other supernatural phenomena.	PropsCategory419	2	re804it419003	it419003	0	None	0	Don't understimate this book，it may have a profound truth.	If you are not illiterate，then there is no reason to not read this book! unless...	m607010000	m607010001
book_ma010301	Fist of Seventy Two Earthly Fiends：Vol II	课程未达门槛後开放	True	MartialArtsBook	Basic palm techniques of Xia Pavillion, moves are named after the Seventy-two Heroes from the Water Margin novel. Strong damage with each punch. Volume II contain the move <color=#FF0000>Ling Zhen Crashes the Walls</color>.	PropsCategory401	2	re804ma010301	ma010301	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Training? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma010401	Fist of Seventy Two Earthly Fiends：Vol III	课程未达门槛後开放	True	MartialArtsBook	Basic palm techniques of Xia Pavillion, moves are named after the Seventy-two Heroes from the Water Margin novel. Strong damage with each punch. Volume III contain the move <color=#FF0000>Shi Qian Steals the Armor</color>.	PropsCategory401	2	re804ma010401	ma010401	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Training? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma010501	Palm of Thirty Six Heavenly Spirits：Vol I	传书考验未过开放	True	MartialArtsBook	Basic palm techniques of Xia Pavillion, moves are named after the Seventy-two Heroes from the Water Margin Novel. Strong damage with each punch. Volume I contain the move <color=#FF0000>Wu Yong's Masterminds the Strategies</color>.	PropsCategory401	2	re804ma010501	ma010501	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Tsk... That lazy Daoist forgot to hand me the list of disciples again... just take the book and I will remind him later.	Did Dao Heng really allow you practice this technique? Hmm，I believe you was just listening to his sleep talkings.	m607010000	m607010001
book_ma010601	Palm of Thirty Six Heavenly Spirits：Vol II	传书考验未过开放	True	MartialArtsBook	Basic palm techniques of Xia Pavillion, moves are named after the Seventy-two Heroes from the Water Margin Novel. Strong damage with each punch. Volume II contain the move <color=#FF0000>Chai Jin Presents the Seal</color>.	PropsCategory401	2	re804ma010601	ma010601	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Tsk... That lazy Daoist forgot to hand me the list of disciples again... just take the book and I will remind him later.	Did Dao Heng really allow you practice this technique? Hmm，I believe you was just listening to his sleep talkings.	m607010000	m607010001
book_ma010701	Palm of Thirty Six Heavenly Spirits：Vol III		True	MartialArtsBook	Basic palm techniques of Xia Pavillion, moves are named after the Seventy-two Heroes from the Water Margin Novel. Strong damage with each punch. Volume III contain the move <color=#FF0000>Yun Long Invokes the Thunder</color>.	PropsCategory401	2	re804ma010701	ma010701	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Tsk... That lazy Daoist forgot to hand me the list of disciples again... just take the book and I will remind him later.	Did Dao Heng really allow you practice this technique? Hmm，I believe you was just listening to his sleep talkings.	m607010000	m607010001
book_ma011701	Tactics of Go	四艺棋拳掌招式	True	MartialArtsBook	A strategy book written by Liu Zhongfu, a Southern Song Dynasty Go player.	PropsCategory401	1	re804ma011701	ma011701	0	None	0	Well... Fusing art into the martial arts? Okay，let's see what you can get.	Humph... You only had few knowledge in both art and martial arts now. You think you can learn anything just by staring at what your predecessors have written? It's time to wake up from your daydreams.	m607010000	m60701011701
book_ma020301	Nine Spirals of the Silver Wheel：Vol II	课程未达门槛後开放	True	MartialArtsBook	Sun Moon Mountain Villa leg technique that are mostly practiced by the disciples of the branch family, inspired by the full moon in the night sky. The kicks are done in a rounded motion, which is gorgeous to watch and capable at dealing with multiple opponents. Volume II contain the move <color=#FF0000>Sinking Silent Shadow</color>.	PropsCategory402	2	re804ma020301	ma020301	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma020401	Nine Spirals of the Silver Wheel：Vol III	课程未达门槛後开放	True	MartialArtsBook	Sun Moon Mountain Villa leg technique that are mostly practiced by the disciples of the branch family, inspired by the full moon in the night sky. The kicks are done in a rounded motion, which is gorgeous to watch and capable at dealing with multiple opponents. Volume III contain the move <color=#FF0000>Moon Rabbit's Chained Kicks</color>.	PropsCategory402	2	re804ma020401	ma020401	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Steping on the next level?  First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma020501	Cloud Sweeping Kicks：Vol I	传书考验未过开放	True	MartialArtsBook	The leg techniques of Earth Dragon Sect, introducing powerful chained kicks, as if strong wind rolling up the clouds. Volume I contain the move <color=#FF0000>Stirring the Waves</color>.	PropsCategory402	2	re804ma020501	ma020501	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Take it，don't think Earth Dragon Sect's martial arts are easy to learn. Even there are so many disciples in Earth Dragon Sect，a lot of stupid guys will have to spend years only on Unwavering Fist and Cyclone Kicks.	Your rough basic skills may have met Huotan's requirements，maybe you really have some talent. Unfortunately，being a lazy genius won't meet mine. Go back to practice more.	m607010000	m607010001
book_ma020601	Cloud Sweeping Kicks：Vol II	传书考验未过开放	True	MartialArtsBook	The leg techniques of Earth Dragon Sect, introducing powerful chained kicks, as if strong wind rolling up the clouds. Volume II contain the move <color=#FF0000>Dragon's Head and Tail</color>.	PropsCategory402	2	re804ma020601	ma020601	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Take it，don't think Earth Dragon Sect's martial arts are easy to learn. Even there are so many disciples in Earth Dragon Sect，a lot of stupid guys will have to spend years only on Unwavering Fist and Cyclone Kicks.	Your rough basic skills may have met Huotan's requirements，maybe you really have some talent. Unfortunately，being a lazy genius won't meet mine. Go back to practice more.	m607010000	m607010001
book_ma020701	Cloud Sweeping Kicks：Vol III	四艺大会二探索	True	MartialArtsBook	The leg techniques of Earth Dragon Sect, introducing powerful chained kicks, as if strong wind rolling up the clouds. Volume III contain the move <color=#FF0000>Clouds Blown by Wind</color>.	PropsCategory402	2	re804ma020701	ma020701	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Take it，don't think Earth Dragon Sect's martial arts are easy to learn. Even there are so many disciples in Earth Dragon Sect，a lot of stupid guys will have to spend years only on Unwavering Fist and Cyclone Kicks.	Your rough basic skills may have met Huotan's requirements，maybe you really have some talent. Unfortunately，being a lazy genius won't meet mine. Go back to practice more.	m607010000	m607010001
book_ma030301	Sword Art of Lord Lu：Vol II	课程未达门槛後开放	True	MartialArtsBook	Sword techniques of Xia Pavillion. It was created by Master Swordsman Dongfang. The attacks are elegant and swift, yet able to defend and attack simultaneously.Volume II contain the move <color=#FF0000>Sundering Waterfall</color>.	PropsCategory403	2	re804ma030301	ma030301	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Training? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma030401	Sword Art of Lord Lu：Vol III	课程未达门槛後开放	True	MartialArtsBook	Sword techniques of Xia Pavillion. It was created by Master Swordsman Dongfang. The attacks are elegant and swift, yet able to defend and attack simultaneously.Volume III contain the move <color=#FF0000>Ninefold Clouds</color>.	PropsCategory403	2	re804ma030401	ma030401	0	None	0	Hmph... if you're lazy on training，you're only wasting your own time. Take it.	Training? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma030501	Cunning Sword of Mountains：Vol I	传书考验未过开放	True	MartialArtsBook	Sword techniques of Divine Wind Temple, inspired by the bizzare shaped rocks at Mount Huang. Known for its unpredictable attack directions. Volume I contain the move <color=# FF0000>The Welcoming Pines</color>.	PropsCategory403	2	re804ma030501	ma030501	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 179}  ], 0} 	Total basic stats up to 180	0	Divine Wind Temple is known to the Jianghu by their medical skills and palm techniques. Based on such an impression，this swordplay can always attack the enemy by surprise. Hmph... but as it has been tought to many students nowdays，can't be that efficient as it was.	Your Master Jing may be talented in swordsmanship. But unfortunately，most students cannot fully learn even half of her lessons. Ask yourself if your foundation is good enough.	m607010000	m607010001
