t0001	庖丁解牛	对人体构造了若指掌，发动攻击时架势伤害值提高。【架势伤害值提高15%】	人体结构在你眼中没有秘密。【架势伤害提高15%】
t0002	五行感应	对命运无法抵抗，深信不疑。提高属性相克加成效益。【五行相克时额外加成提高15%】	你精通五行之力。【五行克敌时增益额外提高15%】
t0003	攻其不备	不擅长光明正大的战斗，从背后以及侧边发动攻击时额外提高伤害。【从目标背面、侧面的攻击加成提高15%】	你擅长把握战机。【攻击目标背面、侧面时攻击提高15%】
t0004	身如轻燕	轻功修练了得，战斗时额外提升移动能力。【战斗时，移动格数额外增加1格】	你是天生的轻功高手。【战斗时移动格数增加1格】
t0005	天煞孤星	比起群体行动你更爱孤狼般的活着。战斗时队友人数愈少获得愈高攻击加成。【战斗时每减少一名队友，攻击力提高10%】	你命带凶星。【你以外的所有人，战斗中受伤害提高15％】
t0006	以血还血	只要受到伤害必定加倍奉还，自身受的伤害愈重，攻击力提升愈多。【每损失1% 气血，攻击力提升0.4%】	你能将愤怒化为力量。【每损失1%气血，攻击提升0.4%】
t0007	怜香惜玉	对女子百般呵护，战斗中女性队友受到的伤害降低。【战斗时女性队友受到的伤害额外降低15%】	你时时不忘对女性伸出援手。【女性队友受伤害额外降低15%】
t0008	倾城之姿	对男性队友拼命相助，战斗中男性队友受到的伤害降低。【战斗时男性队友受到的伤害额外降低15%】	总有人愿意为你奋不顾身。【男性队友攻击额外提高15%】
t0009	神农再世	对丹药百草研究甚深，使用丹药时回复效果提高。【使用丹药时回复类效果提高15%】	你精通草药之学。【使用丹药时效果提高15%】
t0011	天资聪颖	对于事物的理解速度超乎常人，战斗结束後获得的经验值提升。【经验值获得提升10%】	你学习速度远胜常人。【经验值获得提升10%】
t0012	见缝插针	用武力解决武力的问题，发动暴击时伤害而获得加成。【暴击时伤害额外提升15%】	你擅长攻击弱点。【暴击时伤害额外提升15%】
t0013	妙手回春	精通医术，悬壶济世。使用治疔技能时效果获得加成。【治疔技能效果额外提升10%】	你宛如扁鹊再世。【治疔技能效果额外提升10%】
t0014	不动如山	即使受到外力冲击，依然能不为所动。战斗时各部位架势值容忍度提高。【各部位架势值上限提高10%】	你意志坚强，难以击倒。【各部位架势值上限提高10%】
t0015	五行庇佑	相信自身力量不被命运左右，降低五行生克的影响力。【五行生克的效果降低15%】	你与自然五行天生亲和。【五行受克时减益降低15%】
t0016	铜墙铁壁	专精格挡术，战斗时格挡发动额外减免伤害加成。【格挡减免伤害加成15%】	没人比你擅长防御。【格挡时减免伤害减免加成15%】
t0017	体壮如牛	体格精良，气血额外提高。【气血最大上限额外提升10%】	你天生皮粗肉厚。【气血上限额外提升10%】
t0018	气海充沛	体内气血循环顺畅，内力最大上限值提高。【内力最大上限值额外提高10%】	你在内力修炼上更为容易。【内力上限值额外提高10%】
t0019	玉树临风	善于理解女人心思，进行社交活动时若对象为女性好感度额外获得加成。【对女性友人社交获得的好感度提升10%】	你的风度令人着迷。【女性的好感提升速度增加10%】
t0021	媚骨天生	浑身散发雄性贺尔蒙，与男性进行社交活动时更容易提升好感度。【对男性友人社交获得的好感度提升10%】	你的魅力浑然天成。【男性好感提升速度增加10%】
t0022	口若悬河	对于成交价格绝不轻易妥协，进行金钱消费时获得一定折扣。【付出金钱时获得10%减免】	你在杀价时的口才令人惊叹。【消费时获得10%优惠】
t0023	一丝不苟	工昨时全心全意投入获得赏识，打工时获得额外金钱收入。【打工获得金钱额外提升10%】	你严谨的工作态度值得奖励。【打工获得金钱提升10%】
t0024	音感过人	对琴如痴如醉，琴艺值提升时获得额外加成。【琴艺值提升时额外加成15%】	你在音律上有过人资质。【琴艺提升速度加快15%】
t0025	洞若观火	专研棋谱孜孜不倦，棋艺值提升时获得额外加成。【棋艺值提升时额外加成15%】	你天生擅长判断棋局走势。【棋艺提升速度加快15%】
t0026	老成持重	对书法美学爱好至极，书艺值提升时获得额外加成。【书艺值提升时额外加成15%】	过人耐心使你在学习书法拥有优势。【书艺提升速度加快15%】
t0027	胸有成竹	热爱画图写生，画艺值提升时获得额外加成。【画艺值提升时额外加成15%】	你擅长把握事物形象并呈现于画纸之上【画艺提升速度加快15%】
t0028	酒国英豪	嗜酒成性不醉不归，酒艺值提升时获得额外加成。【酒艺值提升时额外加成15%】	你很能喝，更懂得品鉴。【酒艺提升速度加快15%】
t0029	爱花成痴	闻花芬芳喜不自胜，花艺值提升时获得额外加成。【花艺值提升时额外加成15%。】	你就是个花痴。【花艺提升速度加快15%】
