ending0001_f title	Walking away from the world
ending0001_f line Text01	Looking at the barely visible Pavilion in the mountains,
ending0001_f line Text02	You fiddle with the emblem in your hand, unsure of how you feel.
ending0001_f line Text03	Is it hubris? Is it cowardice? You begin to hesitate.
ending0001_f line Text04	You toss the emblem that anyone else would desire into the brush on the side of the road
ending0001_f line Text05	and decide to walk away.
ending0001_f line Text05_1	
ending0001_f line Text06	"On this path, you've seen so much violence. Will it really make the world a better place?"
ending0001_f line Text06_1	
ending0001_f line Text07	You've decided that instead of wielding a weapon, you'd rather wield a tool.
ending0001_f line Text08	Waking up and working, providing for food and shelter, that is the real path to happiness.
ending0001_f line Text09	As for the years after, the conflict in wulin
ending0001_f line Text10	is nothing but a fire across the cliff, smoke before your eyes, to your calm farming life.
ending0001_m title	Walking away from the world
ending0001_m line Text01	Looking at the barely visible Pavilion in the mountains,
ending0001_m line Text02	You fiddle with the emblem in your hand, unsure of how you feel.
ending0001_m line Text03	Is it hubris? Is it cowardice? You begin to hesitate.
ending0001_m line Text04	You toss the emblem that anyone else would desire into the brush on the side of the road, 
ending0001_m line Text05	and decide to walk away.
ending0001_m line Text05_1	
ending0001_m line Text06	"On this path you've seen so much violence. Will it really make the world a better place?"
ending0001_m line Text06_1	
ending0001_m line Text07	You've decided that instead of wielding a weapon, you'd rather wield a tool.
ending0001_m line Text08	Waking up and working, providing for food and shelter, that is the real path to happiness.
ending0001_m line Text09	You fiddle with the emblem in your hand, unsure of how you feel.
ending0001_m line Text10	is nothing but a fire across the cliff, smoke before your eyes, to your calm farming life.
ending0002_f title	Better off leaving
ending0002_f line Text01	Against the fierce attacks, you were unable to get up again and pass out.
ending0002_f line Text02	At that point, you realize, before real power, how weak you are.
ending0002_f line Text03	Days later, you awaken in your room.
ending0002_f line Text04	Is this feeling frustration or confusion? It doesn't matter, you hesitate.
ending0002_f line Text05	You return your emblem, pack your bags and leave.
ending0002_f line Text06	Looking ahead, you've decided, it's better to find a quiet place.
ending0002_f line Text06_1	
ending0002_f line Text07	"Walking the path of Xia and doing good, is more suited for others."
ending0002_f line Text07_1	
ending0002_f line Text08	You've decided that instead of wielding a weapon, you'd rather wield a tool.
ending0002_f line Text09	Waking up and working, providing for food and shelter, that is the real path to happiness.
ending0002_f line Text10	As for the years after, the conflict in wulin
ending0002_f line Text11	is nothing but a fire across the cliff, smoke before your eyes, to your calm farming life.
ending0002_m title	Better off leaving
ending0002_m line Text01	Against the fierce attacks, you were unable to get up again and pass out.
ending0002_m line Text02	At that point, you realize, before real power, how weak you are.
ending0002_m line Text03	Days later, you awaken in your room.
ending0002_m line Text04	Is this feeling frustration or confusion? It doesn't matter, you hesitate.
ending0002_m line Text05	You return your emblem, pack your bags and leave.
ending0002_m line Text06	Looking ahead, you've decided, it's better to find a quiet place.
ending0002_m line Text06_1	
ending0002_m line Text07	"Walking the path of Xia and doing good is more suited for others."
ending0002_m line Text07_1	
ending0002_m line Text08	You've decided that instead of wielding a weapon, you'd rather wield a tool.
ending0002_m line Text09	Waking up and working, providing for food and shelter, that is the real path to happiness.
ending0002_m line Text10	As for the years after, the conflict in wulin
ending0002_m line Text11	is nothing but a fire across the cliff, smoke before your eyes, to your calm farming life.
